OBJECTID,Join_Count,TARGET_FID,LHD_Determination,Latitude,Longitude,See In Google Earth,Fatality,NumberOfFatalities,Beta_Source_Layer,URL,River/Stream,SARPID,Original Source,SourceID,SourceFile,MERGE_SRC,Date Rechecked,Rechecked by,SiteId,SiteUuid,WaterSourceUuids,PODorPOUSite,SiteNativeId,ID,LHD_Color,Day of Evaluation,Evaluation Comments,Evaluator's Name,Dam_Name,State Name,State Abbreviation,State FIPS Code,County Name,County FIPS Code,FIPS Code,2023 Total County Population,City,Weir_Length,LHD_SiteID,LinkNo,Reach_ID,Qmin,Qmax,LHD_Match_Dist_Meters
24,1,24,1,34.07273211,-118.0015921,"https://earth.google.com/web/@34.07273211,-118.0015921,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,,,Karl Kingery,,California,CA,6,Los Angeles County,37,6037,9965925,,,,,,,,
25,1,25,1,34.08221384,-117.9997082,"https://earth.google.com/web/@34.08221384,-117.99970819,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,,,Karl Kingery,,California,CA,6,Los Angeles County,37,6037,9965925,,,,,,,,
26,1,26,1,34.08819131,-117.9973689,"https://earth.google.com/web/@34.08819131,-117.99736891,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,,,Karl Kingery,,California,CA,6,Los Angeles County,37,6037,9965925,,,,,,,,
27,1,27,1,34.09310893,-117.9931005,"https://earth.google.com/web/@34.09310893,-117.99310049,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,,,Karl Kingery,,California,CA,6,Los Angeles County,37,6037,9965925,,,,,,,,
28,1,28,1,34.09576632,-117.9898372,"https://earth.google.com/web/@34.09576632,-117.98983722,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,,,Karl Kingery,,California,CA,6,Los Angeles County,37,6037,9965925,,,,,,,,
29,1,29,1,34.0985201,-117.9861681,"https://earth.google.com/web/@34.0985201,-117.98616814,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,,,Karl Kingery,,California,CA,6,Los Angeles County,37,6037,9965925,,,,,,,,
30,1,30,1,34.10086991,-117.9833403,"https://earth.google.com/web/@34.10086991,-117.9833403,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,,,Karl Kingery,,California,CA,6,Los Angeles County,37,6037,9965925,,,,,,,,
31,1,31,1,34.10304796,-117.9803189,"https://earth.google.com/web/@34.10304796,-117.98031893,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,,,Karl Kingery,,California,CA,6,Los Angeles County,37,6037,9965925,,,,,,,,
32,1,32,1,34.10536085,-117.9775675,"https://earth.google.com/web/@34.10536085,-117.97756745,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,,,Karl Kingery,,California,CA,6,Los Angeles County,37,6037,9965925,,,,,,,,
33,1,33,1,34.10798515,-117.9746053,"https://earth.google.com/web/@34.10798515,-117.97460533,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,,,Karl Kingery,,California,CA,6,Los Angeles County,37,6037,9965925,,,,,,,,
34,1,34,1,34.11114484,-117.9709636,"https://earth.google.com/web/@34.11114484,-117.97096357,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,,,Karl Kingery,,California,CA,6,Los Angeles County,37,6037,9965925,,,,,,,,
35,1,35,1,34.00279371,-118.06986,"https://earth.google.com/web/@34.00279371,-118.06985995,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,6/12/25 20:54,,Karl Kingery,,California,CA,6,Los Angeles County,37,6037,9965925,,,,,,,,
36,1,36,1,33.99417679,-118.0729984,"https://earth.google.com/web/@33.99417679,-118.07299842,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,,,Karl Kingery,,California,CA,6,Los Angeles County,37,6037,9965925,,,,,,,,
37,1,37,1,33.97535095,-118.0834514,"https://earth.google.com/web/@33.97535095,-118.08345138,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,,,Karl Kingery,,California,CA,6,Los Angeles County,37,6037,9965925,,,,,,,,
38,1,38,1,33.97058913,-118.0874992,"https://earth.google.com/web/@33.97058913,-118.08749922,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,,,Karl Kingery,,California,CA,6,Los Angeles County,37,6037,9965925,,,,,,,,
39,1,39,1,33.95435305,-118.0906725,"https://earth.google.com/web/@33.95435305,-118.09067251,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,,,Karl Kingery,,California,CA,6,Los Angeles County,37,6037,9965925,,,,,,,,
40,1,40,1,33.94282314,-118.0992009,"https://earth.google.com/web/@33.94282314,-118.09920093,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,,,Karl Kingery,,California,CA,6,Los Angeles County,37,6037,9965925,,,,,,,,
41,1,41,1,33.93148413,-118.1069724,"https://earth.google.com/web/@33.93148413,-118.10697244,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,,,Karl Kingery,,California,CA,6,Los Angeles County,37,6037,9965925,,,,,,,,
42,1,42,1,46.54198966,-120.2713007,"https://earth.google.com/web/@46.54198966,-120.27130069,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,6/13/25 20:46,dam,Karl Kingery,,Washington,WA,53,Yakima County,77,53077,259982,,,,,,,,
43,1,43,1,46.5389159,-120.2658865,"https://earth.google.com/web/@46.5389159,-120.26588646,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,6/13/25 20:48,,Karl Kingery,,Washington,WA,53,Yakima County,77,53077,259982,,,,,,,,
44,1,44,1,46.53830107,-120.2656771,"https://earth.google.com/web/@46.53830107,-120.26567714,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,6/13/25 20:48,,Karl Kingery,,Washington,WA,53,Yakima County,77,53077,259982,,,,,,,,
45,1,45,1,46.53293841,-120.2634647,"https://earth.google.com/web/@46.53293841,-120.26346473,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,6/13/25 20:48,,Karl Kingery,,Washington,WA,53,Yakima County,77,53077,259982,,,,,,,,
46,1,46,1,46.53033731,-120.2557006,"https://earth.google.com/web/@46.53033731,-120.25570062,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,6/13/25 20:49,,Karl Kingery,,Washington,WA,53,Yakima County,77,53077,259982,,,,,,,,
47,1,47,1,46.52732707,-120.2548139,"https://earth.google.com/web/@46.52732707,-120.25481385,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,6/13/25 20:49,,Karl Kingery,,Washington,WA,53,Yakima County,77,53077,259982,,,,,,,,
48,0,48,2,49.39372226,-124.6182329,"https://earth.google.com/web/@49.39372226,-124.61823286,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Yellow,6/19/25 21:43,Looks like a bridge but the channel changes downstream side.,Steve Plettenberg,,,,,,,,,,,,,,,,
49,1,49,1,45.7983135,-108.2927946,"https://earth.google.com/web/@45.7983135,-108.29279461,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,6/23/25 17:40,site visit,Karl Kingery,,Montana,MT,30,Yellowstone County,111,30111,170389,,,,,,,,
50,1,50,1,45.88440016,-109.7415542,"https://earth.google.com/web/@45.88440016,-109.74155422,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,6/23/25 18:30,Diversion structure,Karl Kingery,,Montana,MT,30,Sweet Grass County,97,30097,3669,,,,,,,,
51,1,51,1,32.85844597,-97.30941877,"https://earth.google.com/web/@32.85844597,-97.30941877,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,6/23/25 18:46,,Karl Kingery,,Texas,TX,48,Tarrant County,439,48439,2189354,,,,,,,,
52,1,52,1,32.86247955,-97.31387199,"https://earth.google.com/web/@32.86247955,-97.31387199,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,6/23/25 18:46,,Karl Kingery,,Texas,TX,48,Tarrant County,439,48439,2189354,,,,,,,,
53,0,53,1,49.36476303,-109.5371817,"https://earth.google.com/web/@49.36476303,-109.53718173,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,7/2/25 2:10,Irrigation POD or similar.,Steve Plettenberg,,,,,,,,,,,,,,,,
54,0,54,1,49.9843084,-110.9905932,"https://earth.google.com/web/@49.9843084,-110.99059316,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,7/2/25 2:24,Canal structure in Canada,Steve Plettenberg,,,,,,,,,,,,,,,,
55,0,55,2,49.98510547,-110.9966433,"https://earth.google.com/web/@49.98510547,-110.99664334,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Yellow,7/2/25 2:26,Something worth looking at.,Steve Plettenberg,,,,,,,,,,,,,,,,
56,1,56,1,41.84146046,-121.5046445,"https://earth.google.com/web/@41.84146046,-121.50464445,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,7/3/25 16:18,Low Head Dam,Wendy Williams,,California,CA,6,Siskiyou County,93,6093,43635,,,,,,,,
57,1,57,1,43.63439862,-116.5756517,"https://earth.google.com/web/@43.63439862,-116.57565174,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,7/3/25 20:15,Low Head Dam,Wendy Williams,,Idaho,ID,16,Canyon County,27,16027,252670,,,,,,,,
58,1,58,1,43.64285541,-116.8137888,"https://earth.google.com/web/@43.64285541,-116.81378884,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,7/3/25 20:31,Low Head Dam,Wendy Williams,,Idaho,ID,16,Canyon County,27,16027,252670,,,,,,,,
59,1,59,1,43.64253117,-116.8151911,"https://earth.google.com/web/@43.64253117,-116.81519108,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,7/3/25 20:31,Low Head Dam,Wendy Williams,,Idaho,ID,16,Canyon County,27,16027,252670,,,,,,,,
60,0,60,1,49.11428542,-113.6191018,"https://earth.google.com/web/@49.11428542,-113.61910183,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,7/4/25 2:53,Irrigation structure.,Steve Plettenberg,,,,,,,,,,,,,,,,
61,0,61,1,49.13900245,-113.5413205,"https://earth.google.com/web/@49.13900245,-113.54132048,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,7/4/25 3:02,Spillway to the dam.,Steve Plettenberg,,,,,,,,,,,,,,,,
62,0,62,1,49.2148805,-113.6361239,"https://earth.google.com/web/@49.2148805,-113.63612387,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,7/4/25 3:05,Irrigation,Steve Plettenberg,,,,,,,,,,,,,,,,
63,1,63,1,42.80264175,-114.5633245,"https://earth.google.com/web/@42.80264175,-114.56332452,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,7/7/25 15:37,Low Head Dam,Wendy Williams,,Idaho,ID,16,Jerome County,53,16053,24977,,,,,,,,
64,1,64,1,42.80254914,-114.5638867,"https://earth.google.com/web/@42.80254914,-114.56388674,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,7/7/25 15:38,Low Head Dam,Wendy Williams,,Idaho,ID,16,Jerome County,53,16053,24977,,,,,,,,
65,1,65,1,42.802481,-114.5644394,"https://earth.google.com/web/@42.802481,-114.56443937,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,7/7/25 15:38,Low Head Dam,Wendy Williams,,Idaho,ID,16,Jerome County,53,16053,24977,,,,,,,,
66,1,66,1,42.80247363,-114.5652528,"https://earth.google.com/web/@42.80247363,-114.56525281,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,7/7/25 15:38,Low Head Dam,Wendy Williams,,Idaho,ID,16,Jerome County,53,16053,24977,,,,,,,,
67,1,67,1,42.80251408,-114.566373,"https://earth.google.com/web/@42.80251408,-114.56637299,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,7/7/25 15:39,Low Head Dam,Wendy Williams,,Idaho,ID,16,Jerome County,53,16053,24977,,,,,,,,
68,1,68,1,42.80249802,-114.5669917,"https://earth.google.com/web/@42.80249802,-114.56699165,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,7/7/25 15:39,Low Head Dam,Wendy Williams,,Idaho,ID,16,Jerome County,53,16053,24977,,,,,,,,
69,1,69,1,42.80248367,-114.5675585,"https://earth.google.com/web/@42.80248367,-114.56755848,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,7/7/25 15:39,Low Head Dam,Wendy Williams,,Idaho,ID,16,Jerome County,53,16053,24977,,,,,,,,
70,1,70,1,42.80208724,-114.5686455,"https://earth.google.com/web/@42.80208724,-114.56864552,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,7/7/25 15:41,Low Head Dam,Wendy Williams,,Idaho,ID,16,Jerome County,53,16053,24977,,,,,,,,
71,1,71,1,42.80179759,-114.5689526,"https://earth.google.com/web/@42.80179759,-114.56895255,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,7/7/25 15:41,Low Head Dam,Wendy Williams,,Idaho,ID,16,Jerome County,53,16053,24977,,,,,,,,
72,1,72,1,42.80147231,-114.5692724,"https://earth.google.com/web/@42.80147231,-114.56927244,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,7/7/25 15:42,Low Head Dam,Wendy Williams,,Idaho,ID,16,Jerome County,53,16053,24977,,,,,,,,
73,1,73,1,42.80136942,-114.5697039,"https://earth.google.com/web/@42.80136942,-114.56970388,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,7/7/25 15:42,Low Head Dam,Wendy Williams,,Idaho,ID,16,Jerome County,53,16053,24977,,,,,,,,
74,1,74,1,42.80105332,-114.570048,"https://earth.google.com/web/@42.80105332,-114.57004796,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,7/7/25 15:42,Low Head Dam,Wendy Williams,,Idaho,ID,16,Jerome County,53,16053,24977,,,,,,,,
75,1,75,1,42.80072391,-114.5704014,"https://earth.google.com/web/@42.80072391,-114.57040143,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,7/7/25 15:42,Low Head Dam,Wendy Williams,,Idaho,ID,16,Jerome County,53,16053,24977,,,,,,,,
76,1,76,1,42.80047284,-114.5708032,"https://earth.google.com/web/@42.80047284,-114.5708032,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,7/7/25 15:45,Low Head Dam,Wendy Williams,,Idaho,ID,16,Jerome County,53,16053,24977,,,,,,,,
77,1,77,1,42.80044189,-114.5712759,"https://earth.google.com/web/@42.80044189,-114.57127593,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,7/7/25 15:45,Low Head Dam,Wendy Williams,,Idaho,ID,16,Jerome County,53,16053,24977,,,,,,,,
78,1,78,1,42.80046652,-114.5717202,"https://earth.google.com/web/@42.80046652,-114.57172019,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,7/7/25 15:46,Low Head Dam,Wendy Williams,,Idaho,ID,16,Jerome County,53,16053,24977,,,,,,,,
79,1,79,1,42.80052771,-114.572243,"https://earth.google.com/web/@42.80052771,-114.57224296,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,7/7/25 15:46,Low Head Dam,Wendy Williams,,Idaho,ID,16,Jerome County,53,16053,24977,,,,,,,,
80,1,80,1,42.80032646,-114.5731118,"https://earth.google.com/web/@42.80032646,-114.57311184,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,7/7/25 15:46,Low Head Dam,Wendy Williams,,Idaho,ID,16,Jerome County,53,16053,24977,,,,,,,,
81,1,81,1,42.79963785,-114.5774107,"https://earth.google.com/web/@42.79963785,-114.57741065,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,7/7/25 15:48,Low Head Dam,Wendy Williams,,Idaho,ID,16,Jerome County,53,16053,24977,,,,,,,,
82,1,82,1,42.80350757,-114.554439,"https://earth.google.com/web/@42.80350757,-114.55443896,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,7/7/25 15:52,Low Head Dam,Wendy Williams,,Idaho,ID,16,Jerome County,53,16053,24977,,,,,,,,
83,1,83,1,42.80317559,-114.5536594,"https://earth.google.com/web/@42.80317559,-114.55365935,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,7/7/25 15:52,Low Head Dam,Wendy Williams,,Idaho,ID,16,Jerome County,53,16053,24977,,,,,,,,
84,1,84,1,42.8027513,-114.5530338,"https://earth.google.com/web/@42.8027513,-114.55303378,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,7/7/25 15:52,Low Head Dam,Wendy Williams,,Idaho,ID,16,Jerome County,53,16053,24977,,,,,,,,
85,1,85,1,42.80228797,-114.552744,"https://earth.google.com/web/@42.80228797,-114.55274402,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,7/7/25 15:52,Low Head Dam,Wendy Williams,,Idaho,ID,16,Jerome County,53,16053,24977,,,,,,,,
86,1,86,1,42.8014552,-114.5508499,"https://earth.google.com/web/@42.8014552,-114.55084987,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,7/7/25 15:53,Low Head Dam,Wendy Williams,,Idaho,ID,16,Jerome County,53,16053,24977,,,,,,,,
87,1,87,1,42.80139798,-114.5504976,"https://earth.google.com/web/@42.80139798,-114.55049761,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,7/7/25 15:54,Low Head Dam,Wendy Williams,,Idaho,ID,16,Jerome County,53,16053,24977,,,,,,,,
88,1,88,1,42.80113757,-114.5499451,"https://earth.google.com/web/@42.80113757,-114.5499451,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,7/7/25 15:54,Low Head Dam,Wendy Williams,,Idaho,ID,16,Jerome County,53,16053,24977,,,,,,,,
89,1,89,1,42.80107927,-114.5492669,"https://earth.google.com/web/@42.80107927,-114.54926693,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,7/7/25 15:55,Low Head Dam,Wendy Williams,,Idaho,ID,16,Jerome County,53,16053,24977,,,,,,,,
90,1,90,1,42.80116265,-114.5486744,"https://earth.google.com/web/@42.80116265,-114.54867442,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,7/7/25 15:55,Low Head Dam,Wendy Williams,,Idaho,ID,16,Jerome County,53,16053,24977,,,,,,,,
91,1,91,1,42.80114404,-114.5464055,"https://earth.google.com/web/@42.80114404,-114.54640546,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,7/7/25 15:57,Low Head Dam,Wendy Williams,,Idaho,ID,16,Jerome County,53,16053,24977,,,,,,,,
